szerokość przekroju;wysokość przekroju;rozpiętość;stopień zbrojenia;średnica zbrojenia;Otulina;Moduł Younga stali;Moduł Younga betonu;Wytrzymałość betonu na rozciąganie;Obciążenie;Ugięcia
0.15;0.33;4.6;1;0.019;0.035;200;30;2.1;40.3;0.01808255
0.24;0.39;4.7;0.54;0.013;0.026;200;32;2.3;40.5;0.008989801
0.21;0.22;3.2;0.67;0.022;0.03;200;32;2.3;44.4;0.026688017
0.21;0.25;6.2;0.95;0.023;0.034;200;29;2;37.2;0.085046249
0.22;0.31;7.7;1.17;0.015;0.036;200;31;2.2;44.7;0.0703613
0.25;0.21;7;1.09;0.025;0.031;200;31;2;37;0.168739503
0.19;0.26;2.9;0.63;0.023;0.027;200;29;2.1;36;0.009688577
0.22;0.34;3.2;1.08;0.021;0.026;200;31;2.6;43.5;0.002721766
0.25;0.24;4.9;0.89;0.024;0.036;200;30;2.4;39.8;0.046791087
0.15;0.31;4.4;1.25;0.009;0.038;200;30;2.3;37.9;0.015022002
0.19;0.21;4.7;0.52;0.017;0.03;200;28;2.2;38.9;0.119249405
0.18;0.25;4.9;1.3;0.025;0.026;200;31;2.8;38.4;0.034433187
0.2;0.32;7.4;1.16;0.021;0.032;200;31;2.3;42.1;0.057394
0.17;0.33;3.7;0.52;0.01;0.038;200;32;2.3;35.2;0.011477153
0.24;0.31;3;0.57;0.023;0.038;200;31;2.1;41.7;0.006161459
0.19;0.31;7.1;0.77;0.024;0.027;200;33;2.4;38;0.070653183
0.17;0.34;5;1.24;0.009;0.038;200;28;2.5;38.2;0.014061145
0.17;0.37;7.9;0.68;0.015;0.029;200;30;2;39.5;0.068660585
0.19;0.23;7.9;0.89;0.024;0.029;200;30;2.7;39.2;0.27271096
0.2;0.2;5.2;0.81;0.011;0.028;200;33;2.5;41;0.119310277
0.24;0.26;6.3;1.27;0.022;0.032;200;33;2.1;37.4;0.05040231
0.24;0.4;3.6;1.1;0.02;0.038;200;32;2.1;36;0.001588282
0.2;0.3;4.7;1.04;0.023;0.039;200;28;2.7;37.7;0.019015637
0.21;0.26;7.8;1.06;0.012;0.037;200;29;2.7;42.2;0.147418131
0.2;0.39;8;0.94;0.011;0.037;200;30;2.4;35.3;0.035389699
0.16;0.3;8;0.63;0.022;0.029;200;32;2.2;41;0.176407069
0.17;0.24;6.2;0.95;0.017;0.026;200;33;2.4;37.9;0.102844031
0.22;0.3;7.4;1.26;0.023;0.032;200;33;2.2;40.3;0.058570466
0.24;0.33;5.3;1.13;0.019;0.036;200;29;2.3;44.4;0.016949839
0.17;0.24;2.9;0.92;0.015;0.038;200;32;2.3;40;0.013164574
0.16;0.35;5.3;0.74;0.009;0.026;200;28;2.3;41.9;0.024630304
0.19;0.26;5.9;0.98;0.014;0.038;200;31;2.4;43;0.077384407
0.21;0.26;4.3;0.68;0.024;0.028;200;30;2;38;0.029745907
0.17;0.29;5.9;1.13;0.012;0.027;200;32;2.2;38.3;0.039755279
0.23;0.32;7.3;0.78;0.018;0.04;200;30;2;40.6;0.068431544
0.23;0.34;3.6;0.82;0.009;0.038;200;32;2.1;42.8;0.005629908
0.18;0.24;3.3;0.82;0.012;0.03;200;30;2.6;38;0.016516096
0.21;0.21;6.8;0.5;0.016;0.028;200;32;2.6;42.7;0.348272935
0.23;0.24;3.8;0.51;0.016;0.038;200;30;2.1;44.9;0.041241295
0.2;0.23;6.9;1.1;0.011;0.03;200;32;2.5;38.9;0.130787572
0.15;0.39;3;1;0.017;0.036;200;30;2.7;44.8;0.002622851
0.16;0.33;7.2;1.13;0.019;0.036;200;30;2.1;38.9;0.058688443
0.17;0.29;3.7;1.26;0.009;0.033;200;30;2.4;44.3;0.010758035
0.21;0.27;6.9;0.88;0.012;0.038;200;29;2.2;35.1;0.086476525
0.19;0.28;5.8;0.82;0.011;0.035;200;32;2.7;41.8;0.058511697
0.23;0.36;5.1;0.73;0.023;0.039;200;28;2.7;41.9;0.015628665
0.17;0.21;5.3;0.69;0.015;0.03;200;33;2.1;39.7;0.148058628
0.24;0.3;4.6;1.06;0.013;0.03;200;30;2;42.8;0.014247963
0.2;0.22;6.9;1.2;0.01;0.034;200;29;2.1;40.6;0.163113719
0.17;0.27;5.7;0.7;0.012;0.038;200;33;2.2;38.4;0.077697783
0.23;0.22;4;0.67;0.015;0.034;200;31;2.5;35.5;0.038178777
0.22;0.23;6.4;0.88;0.008;0.031;200;32;2;43.5;0.126016328
0.17;0.31;5.2;0.89;0.016;0.034;200;28;2;38.9;0.030134175
0.24;0.25;5.3;0.72;0.01;0.038;200;29;2.5;40.8;0.060316783
0.15;0.24;7.1;1.07;0.012;0.04;200;29;2.3;40;0.207248245
0.22;0.24;7;0.91;0.017;0.03;200;29;2.6;43.4;0.147378972
0.25;0.4;3.7;0.73;0.009;0.032;200;32;2.2;37.9;0.002358847
0.17;0.37;4.9;0.72;0.019;0.035;200;29;2.8;44.7;0.01812276
0.15;0.32;4;0.94;0.01;0.035;200;31;2.1;43.6;0.01421545
0.23;0.23;3.8;0.51;0.021;0.026;200;32;2.2;36.2;0.032817965
0.24;0.34;5.3;0.74;0.015;0.029;200;31;2.3;40.1;0.017254478
0.2;0.23;3.8;1.05;0.021;0.039;200;29;2.7;38;0.02740819
0.18;0.34;5;1.27;0.025;0.039;200;33;2.7;41.6;0.015106696
0.16;0.24;6.4;1.27;0.01;0.029;200;30;2;40.4;0.10433459
0.17;0.35;7.5;1.18;0.011;0.036;200;31;2.3;39.9;0.047749469
0.23;0.39;2.8;0.84;0.017;0.03;200;29;2.7;42.6;0.000801198
0.16;0.38;7;1.15;0.023;0.026;200;29;2.1;36.7;0.028381547
0.24;0.36;6.8;1.18;0.009;0.04;200;28;2.6;43;0.024415861
0.2;0.36;5.1;0.72;0.01;0.026;200;31;2;38.9;0.014665819
0.18;0.22;7.6;0.97;0.023;0.032;200;28;2.5;44.7;0.341987219
0.23;0.25;6.8;0.8;0.018;0.03;200;30;2.3;37.2;0.105635551
0.15;0.4;3.7;0.92;0.013;0.027;200;30;2.7;42.6;0.004385003
0.25;0.22;3.2;0.93;0.019;0.026;200;31;2.7;43;0.0146256
0.22;0.28;6.3;0.9;0.011;0.031;200;32;2.6;42;0.057262128
0.22;0.25;4.9;0.54;0.012;0.025;200;29;2.6;36.3;0.049007125
0.21;0.27;5.3;1.18;0.014;0.038;200;30;2.3;40.3;0.035588306
0.25;0.4;5.1;0.85;0.016;0.038;200;30;2.7;41.2;0.007293756
0.23;0.29;6.9;0.6;0.01;0.035;200;31;2.3;39.7;0.088551334
0.18;0.24;5.7;1.05;0.02;0.029;200;30;2.7;41.8;0.083508091
0.25;0.32;6.4;0.58;0.015;0.037;200;29;2.5;37.3;0.045845058
0.18;0.35;4.6;0.54;0.02;0.028;200;28;2.4;39.5;0.018219316
0.2;0.39;3.8;0.54;0.017;0.034;200;29;2.5;44.9;0.006961095
0.16;0.2;3.7;1.12;0.016;0.037;200;28;2.1;39.4;0.05144164
0.23;0.39;4.7;1.18;0.023;0.033;200;29;2.3;41.9;0.005575886
0.18;0.29;6.6;1.21;0.023;0.04;200;33;2.2;44.5;0.072785777
0.17;0.4;8;0.61;0.015;0.039;200;30;2.6;43.2;0.070701387
0.24;0.34;6.4;1.28;0.016;0.028;200;29;2.2;42.9;0.02169507
0.15;0.29;7;1.12;0.023;0.038;200;32;2.5;43.2;0.105665187
0.24;0.26;3;1.16;0.018;0.036;200;31;2.8;38.5;0.005231875
0.19;0.3;5.1;1.17;0.024;0.029;200;28;2.8;35.7;0.019588627
0.16;0.4;5.8;0.95;0.02;0.032;200;29;2.5;36.9;0.015724889
0.19;0.32;3.8;0.87;0.018;0.027;200;32;2.5;40.5;0.008473648
0.2;0.32;7.2;1.03;0.011;0.039;200;29;2.5;40.3;0.057074036
0.18;0.28;4.3;0.59;0.016;0.025;200;28;2.7;39.1;0.028129188
