szerokość przekroju;wysokość przekroju;rozpiętość;stopień zbrojenia;średnica zbrojenia;Otulina;Moduł Younga stali;Moduł Younga betonu;Wytrzymałość betonu na rozciąganie;Obciążenie;Ugięcia
0.21;0.21;4.3;1.14;0.017;0.03;338;31;2.1;36.9;0.027081318
0.21;0.29;6.8;1.06;0.008;0.026;339;29;2.5;42.9;0.037536683
0.2;0.28;4.3;0.95;0.012;0.032;340;30;2.4;42.7;0.012803268
0.21;0.29;5.4;1.28;0.02;0.034;341;32;2.7;44.6;0.01894495
0.23;0.31;3.4;1.1;0.022;0.038;342;31;2.7;44.3;0.003180934
0.24;0.22;3.9;0.79;0.014;0.032;343;31;2.7;38.8;0.019643519
0.18;0.38;6.5;1.14;0.015;0.025;344;32;2.5;42.4;0.013762227
0.22;0.28;6.4;0.74;0.012;0.033;345;31;2;38.7;0.043935321
0.21;0.22;3;0.68;0.023;0.033;346;33;2.2;38.4;0.012501436
0.17;0.3;4.6;0.73;0.016;0.032;347;30;2.1;38.6;0.016683334
0.23;0.36;2.8;1.07;0.018;0.033;348;33;2.3;36.9;0.000319488
0.21;0.29;7.9;0.74;0.018;0.035;349;29;2.5;37.7;0.079651711
0.19;0.3;2.8;1.26;0.013;0.033;350;31;2.1;42.6;0.001999239
0.2;0.32;6.3;0.52;0.014;0.03;351;31;2.8;36.6;0.033523826
0.25;0.31;6.7;1.06;0.024;0.034;352;32;2.1;40;0.025282505
0.19;0.38;6.6;1.14;0.013;0.036;353;31;2.7;44.9;0.015488124
0.21;0.36;6.1;0.99;0.02;0.029;354;29;2.3;41;0.013166612
0.15;0.33;6.3;0.9;0.019;0.035;355;30;2.5;36.7;0.029318317
0.24;0.34;7.6;0.51;0.017;0.032;356;32;2.6;40.6;0.046396723
0.18;0.25;3.2;0.76;0.009;0.029;357;30;2.7;44.2;0.009573103
0.16;0.4;3;1.18;0.025;0.025;358;30;2.5;43.2;0.000761756
0.2;0.22;4.4;1.04;0.023;0.026;359;30;2.2;40.2;0.028453111
0.21;0.39;4.9;1.16;0.015;0.039;360;31;2.1;36.3;0.003619293
0.21;0.21;5.2;1.1;0.01;0.039;361;31;2.5;44.1;0.062785293
0.24;0.28;7.7;0.58;0.023;0.04;362;30;2.6;41.3;0.102954121
0.23;0.3;7.2;1.1;0.024;0.027;363;30;2.2;40.1;0.034565539
0.24;0.36;6.4;0.73;0.022;0.034;364;30;2.6;36;0.014233311
0.23;0.21;7.5;0.74;0.017;0.029;365;30;2.3;44.4;0.208645058
0.23;0.33;7.7;0.77;0.021;0.04;366;31;2.6;38.1;0.041348286
0.23;0.37;7.7;0.61;0.011;0.026;367;29;2.8;42.6;0.030537478
0.21;0.4;5.4;0.97;0.014;0.027;368;32;2.3;35.1;0.004191551
0.22;0.36;3.4;1.11;0.01;0.025;369;30;2.8;35.9;0
0.22;0.35;7.6;0.79;0.024;0.025;370;28;2.5;37.2;0.027979378
0.16;0.33;2.9;1.24;0.011;0.039;371;29;2.6;37;0.001245626
0.21;0.33;3.8;0.84;0.014;0.035;372;29;2.4;38.6;0.003883949
0.22;0.23;3.4;0.53;0.023;0.032;373;28;2.6;37.7;0.016431432
0.19;0.28;3.7;0.59;0.013;0.028;374;30;2.8;42.8;0.010737696
0.22;0.38;7.4;1.13;0.022;0.028;375;29;2.8;39.9;0.01450716
0.21;0.26;6.7;1.07;0.009;0.033;376;31;2.1;43;0.053695262
0.24;0.23;3.5;0.87;0.02;0.031;377;31;2.8;43.8;0.011786319
0.25;0.4;6.4;0.52;0.015;0.039;378;30;2.5;41.3;0.014304773
0.18;0.25;6;0.59;0.019;0.025;379;30;2.6;43.5;0.078252022
0.17;0.28;3.8;1.2;0.016;0.027;380;29;2.3;37.3;0.006424399
0.24;0.31;6.7;0.55;0.014;0.037;381;29;2.7;37.5;0.037490741
0.18;0.27;5.3;0.93;0.024;0.032;382;31;2.6;35.5;0.025657479
0.16;0.32;5.8;1;0.013;0.038;383;28;2.3;41.7;0.024298729
0.17;0.25;7.3;1.26;0.015;0.027;384;30;2;38.4;0.075633105
0.17;0.39;7;0.93;0.009;0.035;385;31;2.4;37.6;0.017178459
0.15;0.27;5.3;0.68;0.017;0.04;386;31;2.5;41.6;0.050020722
0.22;0.31;5.2;1.17;0.01;0.027;387;33;2.6;43.8;0.00986018
0.19;0.37;5.3;1.21;0.009;0.035;388;32;2.8;36.7;0.004855026
0.24;0.21;3.7;1.3;0.02;0.035;389;29;2.8;40.4;0.014247778
0.2;0.33;6.1;0.59;0.01;0.039;390;28;2.5;37.7;0.025826563
0.19;0.39;3.1;1.27;0.019;0.027;391;30;2.3;40;0
0.22;0.32;5.7;1.09;0.022;0.038;392;31;2.7;35.3;0.011532272
0.16;0.25;5.7;1.24;0.02;0.037;393;28;2.2;35.4;0.042304256
0.23;0.35;5.7;1.13;0.019;0.034;394;31;2.5;42.9;0.009083018
0.19;0.27;6.2;1.26;0.022;0.034;395;31;2;36.9;0.033282084
0.24;0.3;6.9;0.72;0.021;0.028;396;32;2.7;38.7;0.034399643
0.17;0.34;5.4;1;0.008;0.027;397;28;2.5;37.1;0.010124581
0.19;0.22;6.3;0.9;0.024;0.039;398;31;2.8;39.6;0.113505372
0.24;0.26;7.3;0.99;0.015;0.033;399;29;2.2;36.5;0.054442579
0.23;0.22;7.6;0.86;0.011;0.026;400;28;2.2;43.2;0.13744982
0.24;0.3;6.6;0.96;0.008;0.028;401;30;2.5;35.4;0.019602757
0.16;0.24;6.5;0.98;0.02;0.027;402;30;2.1;42.1;0.086211233
0.25;0.4;6.7;1.04;0.024;0.035;403;33;2.1;42.4;0.009366359
0.24;0.31;6.9;0.72;0.014;0.03;404;31;2.6;36.9;0.028125972
0.19;0.33;4.4;0.78;0.014;0.03;405;30;2.7;43;0.007681904
0.23;0.22;3.2;1.22;0.013;0.035;406;29;2;42.7;0.008475033
0.16;0.27;4.8;1.14;0.011;0.038;407;29;2.1;39.1;0.020229624
0.19;0.22;7.5;0.51;0.025;0.038;408;32;2.4;35.7;0.257407597
0.23;0.34;5.4;1.04;0.013;0.039;409;29;2.4;38;0.007772797
0.24;0.25;3.5;0.91;0.019;0.03;410;32;2.1;43.6;0.007786417
0.21;0.36;4.2;1.26;0.017;0.029;411;31;2.8;43.3;0.001988117
0.23;0.35;7.8;0.85;0.023;0.039;412;30;2.2;36.7;0.028661583
0.22;0.25;6.3;0.61;0.02;0.026;413;28;2.7;43.6;0.069525618
0.19;0.35;6.1;1.21;0.009;0.032;414;30;2.6;40.1;0.011055768
0.23;0.31;5.1;1.15;0.009;0.035;415;33;2.7;41;0.00818679
0.24;0.21;4.1;0.91;0.018;0.033;416;31;2;38.5;0.022992879
0.2;0.35;3.7;1.17;0.024;0.03;417;29;2.2;44.1;0.002401444
0.23;0.27;3.7;1.15;0.014;0.034;418;29;2.5;35.5;0.003911237
0.22;0.29;6.3;1.16;0.009;0.033;419;29;2.3;38;0.021312439
0.22;0.25;6.2;0.86;0.012;0.035;420;32;2.3;40.2;0.048639544
0.16;0.36;6.9;1.14;0.019;0.037;421;31;2.6;41.9;0.022560047
0.21;0.22;7.9;0.56;0.011;0.04;422;29;2.1;37.2;0.241281831
0.17;0.35;6.8;0.61;0.012;0.038;423;29;2.8;44.4;0.037716753
0.19;0.3;6;1.03;0.024;0.027;424;31;2.4;37.9;0.020747799
0.24;0.27;4;0.88;0.019;0.035;425;30;2.4;36.9;0.00743783
0.17;0.32;4.9;1.25;0.011;0.028;426;31;2.6;40.9;0.008157231
0.21;0.26;6.1;0.71;0.011;0.034;427;30;2.6;38.7;0.045355879
0.2;0.35;3.4;0.97;0.022;0.031;428;30;2.3;37.8;0.001469035
0.18;0.21;3.2;1.2;0.012;0.032;429;29;2.2;44.7;0.012791061
0.22;0.2;4;0.94;0.017;0.03;430;29;2.3;38.9;0.025554017
0.23;0.25;4.3;0.9;0.015;0.037;431;32;2.2;35.1;0.012710142
0.19;0.4;7.7;1.07;0.016;0.031;432;31;2.3;40.8;0.016746449
0.15;0.3;6.9;0.83;0.013;0.036;433;32;2.5;44.7;0.059387518
0.25;0.33;4.5;1.12;0.019;0.031;434;33;2.7;41.9;0.003387853
0.23;0.32;6.8;1.01;0.016;0.034;435;32;2.7;38;0.019228792
0.24;0.26;7.8;0.91;0.016;0.039;436;31;2.3;43.6;0.086668362
0.19;0.22;4.4;1.03;0.012;0.037;437;29;2.4;36.9;0.026269215
0.16;0.28;7.9;0.95;0.022;0.03;438;29;2.2;39.6;0.086241548
0.19;0.23;4.4;1.07;0.02;0.04;439;32;2.1;35.3;0.022804934
0.17;0.27;5.9;0.65;0.019;0.039;440;32;2.6;43.7;0.059419746
0.25;0.21;3.6;0.9;0.011;0.028;441;33;2;35.5;0.010759595
0.17;0.34;4.5;0.75;0.023;0.038;442;32;2.2;41.2;0.009305641
0.15;0.26;7.2;0.81;0.024;0.03;443;32;2.3;40.9;0.10286008
0.19;0.24;4;0.99;0.015;0.027;444;32;2.6;39.7;0.012747027
0.24;0.21;6.3;0.66;0.017;0.034;445;28;2.8;44.8;0.123474238
0.15;0.39;7.9;0.91;0.022;0.039;446;29;2.5;41.5;0.032867129
0.15;0.28;7.5;0.85;0.01;0.028;447;29;2.2;37.1;0.070899283
0.15;0.34;6.7;0.76;0.017;0.033;448;29;2.2;35;0.028429529
0.23;0.3;4.2;1.07;0.018;0.031;449;32;2.7;35.6;0.003519315
0.18;0.23;3.7;1.2;0.024;0.037;450;33;2.3;37.7;0.013210058
0.15;0.39;5.3;1.09;0.018;0.039;451;32;2.6;37.8;0.006569726
0.22;0.36;6.6;0.99;0.013;0.026;452;32;2.1;38;0.011126411
0.22;0.25;4.8;1.16;0.021;0.038;453;29;2.7;42.6;0.019764127
0.16;0.38;5.4;0.91;0.013;0.029;454;31;2.7;42.4;0.008392094
0.19;0.27;3.3;1.26;0.011;0.038;455;31;2.2;41.6;0.004358525
0.16;0.35;5.6;1.27;0.012;0.03;456;29;2.6;41;0.009456826
0.16;0.4;3.2;0.99;0.008;0.028;457;32;2;39.3;0.000937791
0.21;0.36;7.7;0.98;0.023;0.033;458;31;2.5;42.9;0.024750533
0.16;0.36;3.1;0.76;0.017;0.036;459;33;2.4;41;0.001997142
0.23;0.36;7.5;1.16;0.013;0.026;460;31;2.2;40.9;0.015005255
0.22;0.38;6.1;1.12;0.023;0.039;461;30;2.7;35.3;0.005442841
0.2;0.34;4.6;1.16;0.01;0.036;462;28;2.5;43.4;0.004822847
0.17;0.22;4;0.52;0.01;0.037;463;33;2.3;38.3;0.035363733
0.24;0.25;6;1.11;0.009;0.037;464;29;2.3;42.2;0.03336302
0.21;0.21;5.2;0.67;0.02;0.034;465;29;2.2;44.3;0.077027064
0.15;0.22;3.9;0.57;0.023;0.026;466;32;2.6;40.1;0.033613787
0.24;0.23;3.7;1.11;0.018;0.026;467;30;2.5;41.5;0.008090487
0.19;0.37;5.8;0.65;0.024;0.029;468;30;2.1;42.8;0.013919578
0.2;0.37;6.4;1.02;0.017;0.039;469;32;2.3;44.3;0.013491593
0.19;0.35;7.7;0.57;0.019;0.036;470;30;2.6;42.6;0.046220994
0.21;0.33;7;0.57;0.025;0.033;471;28;2.1;39.4;0.036241627
0.24;0.37;7.7;0.54;0.024;0.038;472;28;2.2;35.3;0.026324378
0.17;0.28;5.5;1.01;0.021;0.039;473;31;2.4;40.2;0.026752586
0.19;0.26;3.7;0.55;0.008;0.025;474;31;2.6;44.3;0.011938493
0.23;0.4;7;0.62;0.009;0.027;475;29;2.1;39.3;0.012929887
0.2;0.25;5.6;0.73;0.012;0.036;476;32;2.1;35;0.035724939
0.19;0.36;3.4;1.2;0.012;0.037;477;31;2.6;40.8;0.000794294
0.18;0.36;5.7;1;0.018;0.037;478;29;2.6;44.6;0.011455283
0.18;0.33;6.8;0.89;0.009;0.03;479;29;2.2;37.2;0.022502101
0.19;0.25;7.1;0.55;0.008;0.029;480;29;2.2;40.8;0.100791345
0.24;0.34;5.3;0.65;0.019;0.037;481;28;2.1;44.3;0.011860811
0.21;0.29;7.8;0.88;0.02;0.038;482;30;2.2;44.4;0.066152526
0.2;0.4;7.2;1.3;0.01;0.027;483;33;2.8;37.7;0.006734659
0.19;0.25;4.6;0.97;0.018;0.034;484;31;2.7;36.8;0.016918512
0.19;0.39;6.9;1.01;0.014;0.025;485;32;2;40.4;0.01164728
0.17;0.38;7.9;0.58;0.024;0.036;486;31;2.2;44.7;0.043846815
0.16;0.25;7.5;0.9;0.021;0.035;487;31;2.5;43.9;0.124158891
0.23;0.27;7.5;1.07;0.01;0.029;488;32;2.3;39.7;0.04257693
0.22;0.26;4.9;1.21;0.022;0.037;489;33;2.1;41.3;0.016012226
0.21;0.32;3.4;0.51;0.025;0.027;490;32;2.2;39.9;0.003926448
0.17;0.37;7.1;0.97;0.021;0.039;491;31;2.2;41.2;0.021689705
0.24;0.26;5.1;1.13;0.021;0.039;492;30;2.7;36.9;0.014550802
0.2;0.26;7;1.01;0.008;0.037;493;31;2.5;40.1;0.053326408
0.23;0.38;3.7;0.84;0.009;0.037;494;32;2.3;43.4;0.001358761
0.22;0.33;5.5;1.15;0.01;0.034;495;32;2;37.7;0.007440292
0.19;0.24;6.3;0.9;0.017;0.039;496;30;2.7;44.2;0.073534879
0.21;0.27;7.9;1.16;0.018;0.04;497;28;2.1;44;0.074633352
0.22;0.21;7.8;1.05;0.02;0.03;498;31;2.7;36;0.126330779
0.15;0.22;5.9;0.6;0.017;0.039;499;30;2.2;40.4;0.13159872
0.21;0.35;6.8;0.89;0.021;0.035;500;29;2.2;43.4;0.019818922
0.2;0.22;7.2;0.56;0.024;0.03;501;28;2.4;44.2;0.190280224
0.22;0.32;3.5;0.85;0.011;0.039;502;29;2.4;41.3;0.002480436
0.18;0.33;4.8;1.1;0.008;0.027;503;30;2.4;41.3;0.006024387
0.2;0.36;3;1.2;0.017;0.037;504;29;2.1;44.7;0.000686067
0.25;0.29;7;0.8;0.013;0.035;505;30;2.7;42.2;0.034186984
0.21;0.36;4;0.75;0.02;0.028;506;29;2.7;43;0.002554766
0.19;0.25;3.8;1.27;0.013;0.026;507;32;2.4;43.8;0.007401779
0.21;0.32;4.2;0.74;0.019;0.031;508;30;2.2;36.2;0.004867447
0.23;0.35;6.4;1.19;0.024;0.029;509;30;2.4;37.3;0.007929387
0.22;0.29;5.5;1.27;0.017;0.034;510;30;2.5;43.2;0.013171287
0.18;0.32;5.6;0.97;0.023;0.038;511;30;2.1;44.7;0.017930745
0.21;0.21;3;0.75;0.012;0.031;512;30;2;41.5;0.009921798
0.25;0.23;8;0.66;0.023;0.029;513;32;2;36.3;0.118700782
0.23;0.34;4.7;1.15;0.009;0.026;514;31;2.1;37.6;0.002693456
0.18;0.27;7;0.89;0.013;0.034;515;30;2.5;37.2;0.050978205
0.19;0.36;5;1.02;0.012;0.029;516;31;2.3;37.9;0.004418726
0.17;0.3;6.6;1.04;0.009;0.038;517;29;2.5;36.8;0.027707307
0.23;0.25;4.2;0.89;0.019;0.033;518;33;2.3;42.2;0.012171402
0.23;0.21;7.8;0.86;0.008;0.037;519;29;2.2;35.7;0.140286695
0.15;0.27;6.3;0.88;0.018;0.026;520;31;2.7;44.4;0.049727527
0.18;0.25;6.9;0.87;0.012;0.032;521;30;2.4;38.3;0.065160731
0.16;0.33;5.7;0.62;0.018;0.037;522;33;2.7;40.3;0.021626472
0.17;0.29;6.3;0.84;0.019;0.036;523;29;2.1;39;0.035820725
0.24;0.3;3.7;0.73;0.024;0.038;524;31;2.3;35.7;0.003621666
0.17;0.23;6.4;1.28;0.014;0.029;525;30;2.5;43.5;0.062866885
0.23;0.28;6.6;0.58;0.01;0.033;526;29;2.5;37.1;0.037381419
0.23;0.35;4.8;0.53;0.009;0.039;527;33;2.4;39.2;0.00688266
0.19;0.37;4.4;0.58;0.009;0.031;528;31;2.1;39.6;0.004820502
0.16;0.22;6;0.55;0.009;0.026;529;30;2.1;38.4;0.094570024
0.22;0.21;7.4;1.02;0.011;0.036;530;31;2.3;38.1;0.115803271
0.21;0.26;7.4;0.91;0.023;0.038;531;31;2.7;38.1;0.065396239
0.22;0.29;3.9;0.95;0.01;0.036;532;28;2.4;37.7;0.00391747
0.2;0.28;5.7;0.9;0.019;0.025;533;32;2.1;38.9;0.019618098
0.23;0.34;5.3;1.1;0.023;0.028;534;32;2.3;38;0.004844095
0.24;0.29;4.1;1.16;0.015;0.037;535;30;2.7;42.3;0.003785543
0.18;0.36;7.7;0.96;0.018;0.03;536;30;2.7;36.3;0.020146711
0.19;0.35;6.5;0.93;0.021;0.026;537;30;2.2;36.7;0.012859536
0.24;0.36;6.5;0.59;0.021;0.032;538;31;2.8;40.8;0.014220526
0.17;0.25;5;1.24;0.016;0.037;539;32;2.2;42.5;0.02403764
0.22;0.21;4;0.52;0.014;0.03;540;30;2.1;38.5;0.026886268
0.17;0.37;6.8;1.16;0.017;0.034;541;29;2.3;44.4;0.015655333
0.16;0.34;3;0.58;0.017;0.032;542;29;2.3;39.7;0.002325282
0.2;0.28;5.7;0.62;0.021;0.039;543;31;2.8;36.3;0.028372052
0.15;0.29;7;1.28;0.009;0.035;544;33;2.3;43.1;0.040454085
0.21;0.21;4;1;0.018;0.038;545;30;2.6;43.5;0.023281828
0.22;0.27;3.5;1.22;0.011;0.03;546;32;2.8;42;0.002378987
0.25;0.33;7.1;0.54;0.017;0.038;547;29;2.5;37.1;0.026194003
0.22;0.23;5.3;0.94;0.025;0.029;548;29;2.5;37.6;0.029780852
0.24;0.33;3.6;0.59;0.018;0.037;549;29;2.8;36.4;0.001683025
0.2;0.38;7;1.29;0.015;0.036;550;32;2.7;44.3;0.010459156
0.22;0.38;2.9;1.28;0.01;0.028;551;32;2.4;37;0
0.2;0.29;4.9;0.7;0.016;0.033;552;32;2.3;44.2;0.015783092
0.21;0.26;7.7;1.07;0.013;0.033;553;31;2;43.3;0.064956371
0.21;0.31;6.9;1.17;0.024;0.027;554;29;2.4;41.3;0.020783856
0.17;0.32;7.2;1.25;0.017;0.03;555;31;2.7;36.8;0.021465883
0.22;0.33;4.1;0.79;0.018;0.034;556;30;2.7;44.2;0.003826131
0.23;0.37;4.5;1.01;0.017;0.029;557;30;2.3;35.5;0.001077822
0.19;0.39;6.6;1.04;0.011;0.025;558;30;2.2;42;0.008789454
0.21;0.39;3;0.54;0.021;0.028;559;31;2.3;42.5;0.000797229
0.19;0.25;3.6;1.23;0.014;0.034;560;33;2.2;43.5;0.006903408
0.22;0.31;6.6;0.59;0.021;0.035;561;28;2.3;40.6;0.031369056
0.21;0.27;4;1.17;0.024;0.036;562;29;2.8;44.9;0.006935919
0.19;0.28;5.2;0.84;0.013;0.031;563;31;2.4;39.5;0.01642044
0.17;0.33;6;1.12;0.013;0.026;564;30;2.8;36.7;0.009877098
0.17;0.34;3;0.86;0.018;0.036;565;30;2.6;41.4;0.001274363
0.21;0.31;3.7;0.55;0.019;0.028;566;32;2.1;42.6;0.00522442
0.19;0.26;6.8;0.82;0.017;0.034;567;30;2.8;36.8;0.050174963
0.19;0.3;3.7;1.28;0.02;0.035;568;28;2.3;36.2;0.002251468
0.22;0.27;3.6;1.18;0.021;0.034;569;31;2.4;38;0.003256686
0.19;0.3;7.5;0.65;0.024;0.036;570;32;2.1;42.9;0.060310381
0.21;0.34;5.9;0.99;0.017;0.04;571;33;2.3;41.1;0.010769834
0.21;0.38;4.6;0.84;0.009;0.03;572;28;2.7;40.8;0.001886422
0.16;0.34;5.7;1.17;0.018;0.025;573;29;2.5;42.4;0.010202493
0.16;0.36;6.4;1.02;0.013;0.026;574;28;2.8;42.1;0.012715165
0.22;0.2;5.6;0.84;0.015;0.03;575;33;2.4;44.2;0.068432279
0.15;0.31;4.5;0.54;0.012;0.036;576;30;2.1;44.6;0.016179898
0.21;0.34;4.1;1.17;0.025;0.033;577;32;2.1;37.1;0.002004456
0.24;0.36;7.8;0.91;0.009;0.028;578;28;2;45;0.019236388
0.19;0.36;6.9;0.66;0.014;0.026;579;31;2.1;35.4;0.016256119
0.19;0.33;5.2;1.24;0.018;0.034;580;29;2.7;38.9;0.005420676
0.23;0.31;7.6;0.79;0.014;0.039;581;30;2.1;35.5;0.031072783
0.21;0.33;3.6;0.88;0.013;0.035;582;30;2.7;40.6;0.001509674
0.24;0.26;6.2;1;0.022;0.034;583;30;2.1;42.2;0.030745634
0.19;0.39;5.5;0.52;0.009;0.026;584;29;2.2;35;0.006635464
0.22;0.28;3;1.13;0.024;0.028;585;28;2;40.7;0.001538205
0.25;0.28;7.3;0.52;0.017;0.038;586;29;2;39.5;0.057285364
0.25;0.27;6.6;1.2;0.023;0.033;587;29;2.8;39.5;0.022380849
0.25;0.28;7.2;1.06;0.012;0.036;588;30;2.1;37.7;0.028137401
0.23;0.33;7.2;0.86;0.01;0.04;589;29;2.2;44.2;0.024452061
0.22;0.33;3.8;0.69;0.018;0.038;590;28;2.7;36.3;0.002031233
0.19;0.26;5.1;0.55;0.011;0.027;591;31;2;40.1;0.026328613
0.23;0.2;2.9;0.88;0.015;0.026;592;28;2.3;43.4;0.007209214
0.18;0.26;3.7;0.8;0.023;0.038;593;31;2.5;42.3;0.010170974
0.18;0.32;5.6;0.65;0.01;0.037;594;32;2.6;44.1;0.018647322
0.24;0.25;3.2;1.07;0.014;0.034;595;30;2.1;39.2;0.003014338
0.19;0.35;6.1;0.67;0.019;0.035;596;28;2.4;38.7;0.014570975
0.19;0.35;5.5;0.57;0.009;0.037;597;30;2.1;40.5;0.012396669
0.25;0.36;7.4;0.66;0.016;0.026;598;31;2.5;42.9;0.017303247
0.16;0.35;4.6;1.24;0.021;0.031;599;31;2.2;36.9;0.003642959
0.24;0.26;7.2;0.62;0.013;0.03;600;32;2.2;36;0.049476205
0.15;0.32;2.9;0.92;0.016;0.026;601;32;2.4;43.5;0.001681992
0.24;0.32;3.1;0.65;0.011;0.035;602;30;2.1;35.9;0.001078148
0.2;0.33;4.7;0.73;0.012;0.032;603;29;2.8;38.8;0.005352904
0.17;0.28;4.6;1;0.015;0.027;604;30;2.4;43.5;0.011260061
0.19;0.32;4.9;0.54;0.011;0.035;605;29;2.8;38.7;0.010785243
0.21;0.25;4.4;0.68;0.021;0.033;606;31;2.1;36.7;0.015221928
0.23;0.26;6.9;0.94;0.022;0.029;607;30;2.2;42.3;0.042274228
0.25;0.25;6.9;0.93;0.009;0.03;608;32;2.7;40.2;0.036869223
0.17;0.26;5;0.62;0.014;0.038;609;29;2.8;39.2;0.028616656
0.24;0.21;7.9;1.09;0.023;0.03;610;30;2.2;36;0.106924758
0.23;0.37;4.6;1.09;0.021;0.027;611;28;2.7;37.3;0
0.17;0.29;7.9;0.97;0.023;0.032;612;30;2.8;35.8;0.049344555
0.23;0.27;3.7;1.03;0.009;0.03;613;32;2.7;41;0.002875852
0.23;0.3;2.9;0.59;0.02;0.04;614;29;2.2;43.9;0.00243122
0.21;0.27;7.6;0.55;0.017;0.026;615;30;2.6;35.3;0.060362195
0.15;0.33;7.8;0.89;0.014;0.028;616;31;2.1;40.2;0.038086136
0.17;0.25;3.2;0.57;0.011;0.033;617;29;2.5;35.1;0.006804424
0.2;0.3;5.6;1.18;0.01;0.028;618;29;2;43;0.01169674
0.17;0.39;6.8;0.94;0.019;0.031;619;33;2.3;38;0.010666147
0.24;0.21;5.3;0.78;0.022;0.03;620;30;2;44.8;0.049247125
0.25;0.38;5;0.84;0.009;0.026;621;29;2.8;35.6;0
0.24;0.22;6;1.29;0.023;0.028;622;31;2.7;37.2;0.031001584
0.19;0.26;7.2;0.9;0.012;0.036;623;32;2.7;35;0.048351093
0.22;0.36;3;0.56;0.014;0.029;624;32;2;37.2;0.000781048
0.21;0.26;6.3;1.27;0.016;0.037;625;29;2.4;35.3;0.023706503
0.17;0.21;5;0.67;0.025;0.038;626;29;2.4;37.4;0.064943871
0.24;0.37;4.7;0.87;0.015;0.031;627;30;2.4;39.8;0.001784405
0.15;0.29;7.9;0.8;0.023;0.037;628;30;2.6;40.5;0.078745129
0.17;0.37;7.3;0.57;0.022;0.04;629;29;2.7;43.4;0.03120264
0.15;0.21;5.5;0.7;0.017;0.038;630;33;2;44.9;0.102866916
0.23;0.25;6;0.8;0.01;0.037;631;33;2.3;42.6;0.034969956
0.21;0.27;6.3;0.96;0.021;0.033;632;29;2.2;40.6;0.029630133
0.17;0.28;7.7;1.26;0.017;0.028;633;28;2.3;39;0.044188156
0.16;0.37;3.9;0.92;0.018;0.035;634;31;2.1;38.5;0.002302847
0.18;0.26;3.5;0.9;0.024;0.036;635;28;2.8;35.9;0.005228921
0.22;0.35;6.8;0.56;0.009;0.026;636;29;2.6;36.6;0.014519535
0.2;0.29;4;1.03;0.015;0.026;637;30;2.8;39.1;0.002774798
0.2;0.26;3.6;0.81;0.023;0.03;638;29;2.4;39.4;0.006052906
0.2;0.34;7.1;0.82;0.017;0.03;639;31;2.1;39.5;0.019393985
0.16;0.26;7.8;1.17;0.018;0.038;640;31;2.5;36.6;0.070780369
0.18;0.35;5;0.89;0.016;0.031;641;33;2.7;37.9;0.00474056
0.15;0.22;6.7;0.63;0.008;0.026;642;30;2.5;40;0.114220587
0.23;0.28;6.5;0.96;0.01;0.037;643;30;2.8;39.9;0.022301487
0.2;0.25;4;0.65;0.022;0.037;644;31;2;37.2;0.012964517
0.19;0.21;6.7;1.21;0.018;0.038;645;33;2.4;35.9;0.079468855
0.15;0.28;4.9;1.18;0.013;0.035;646;33;2.1;44;0.015121258
0.24;0.34;4.8;0.57;0.023;0.04;647;29;2.8;41.1;0.006069558
0.2;0.23;3.1;1.16;0.021;0.027;648;28;2.1;44.4;0.005058048
0.16;0.21;6.6;0.77;0.019;0.034;649;28;2.2;37.3;0.126145194
0.19;0.37;3;0.88;0.024;0.026;650;30;2.5;40.7;0
0.2;0.38;5.1;0.81;0.022;0.032;651;30;2.6;37.5;0.003180653
0.24;0.27;3.1;0.59;0.022;0.031;652;30;2.4;41.9;0.003381194
0.16;0.24;7;0.94;0.008;0.04;653;30;2.7;37.6;0.077611907
0.2;0.36;5.1;0.82;0.018;0.036;654;30;2.4;36.1;0.004299085
0.21;0.22;5.7;0.94;0.012;0.031;655;33;2.3;40.7;0.040521325
0.17;0.23;5;0.64;0.009;0.036;656;29;2.4;41;0.041886
0.19;0.31;4.6;0.89;0.015;0.027;657;30;2.3;43.8;0.006828289
0.15;0.27;2.9;0.56;0.011;0.038;658;33;2.4;37.3;0.004750974
0.19;0.31;4.1;0.54;0.014;0.038;659;30;2.7;37.7;0.006409872
0.25;0.37;3.5;0.81;0.018;0.038;660;30;2.3;43.7;0.000551247
0.2;0.26;6.2;1.09;0.021;0.028;661;30;2.1;40.2;0.027775089
0.17;0.38;5.6;0.94;0.018;0.03;662;32;2.3;35;0.004905781
0.24;0.2;3.3;1.14;0.012;0.028;663;31;2.7;37.3;0.005124862
0.22;0.22;3.1;0.68;0.016;0.034;664;33;2;35.7;0.006868881
0.2;0.37;7.5;0.77;0.019;0.038;665;29;2.4;37.6;0.017416094
0.25;0.29;7.8;0.79;0.018;0.039;666;31;2.6;44.2;0.045219657
0.21;0.35;4.2;0.73;0.012;0.031;667;31;2.1;38.1;0.002624646
0.24;0.25;6;0.74;0.015;0.027;668;29;2.2;43.5;0.0320202
0.23;0.3;8;0.52;0.01;0.036;669;30;2.4;44.4;0.060318931
0.24;0.22;4.8;0.76;0.014;0.038;670;33;2.5;35;0.022580141
0.19;0.26;6.4;1.29;0.018;0.03;671;29;2.4;39.8;0.02787618
0.23;0.35;2.9;0.81;0.025;0.034;672;30;2.8;36.3;0
0.23;0.36;5.1;0.74;0.024;0.033;673;30;2.5;37.6;0.003682758
0.2;0.39;3.4;1.08;0.012;0.031;674;29;2.6;41;0
